date,company,symbol,open,high,low,close,rsi,macd,macd_signal,macd_histogram,ema_20,ema_50,ema_200,atr,atr_pct,volume_ratio,trend_score,price_vs_ema20,nifty_trend,banknifty_trend,sensex_trend,sentiment_score,impact_score,relevance_score,news_count,dominant_event,trigger_count,target
2023-05-17,tata,TMPV.NS,513.26,514.68,503.44,506.38,68.03,18.3437,16.6053,1.7384,485.12,459.13,430.1,11.32,2.236,1.0695,5,21.27,Bullish,Bullish,Bullish,0.0252,0.0284,0.0299,0,None,0,1
2023-05-18,tata,TMPV.NS,509.62,511.69,498.13,499.46,62.7,17.2286,16.73,0.4986,486.48,460.72,430.79,11.48,2.299,0.9426,5,12.97,Bullish,Bullish,Bullish,0.0076,0.0085,0.009,0,None,0,0
2023-05-21,tata,TMPV.NS,500.78,517.09,495.82,515.67,68.85,17.4516,16.8743,0.5773,489.26,462.87,431.64,12.18,2.3623,1.4549,5,26.4,Bullish,Bullish,Bullish,0.0023,0.0026,0.0027,0,None,0,0
2023-05-22,tata,TMPV.NS,515.67,517.68,510.16,513.26,67.08,17.2354,16.9465,0.2889,491.55,464.85,432.45,11.85,2.3084,0.7463,5,21.71,Bullish,Bullish,Bullish,0.0007,0.0008,0.0008,0,None,0,0
2023-05-23,tata,TMPV.NS,513.26,521.61,511.93,519.15,69.17,17.3398,17.0252,0.3146,494.18,466.98,433.31,11.69,2.2523,0.9024,5,24.98,Bullish,Bullish,Bullish,0.0002,0.0002,0.0002,0,None,0,0
2023-05-24,tata,TMPV.NS,517.83,520.28,509.97,511,63.2,16.5736,16.9349,-0.3613,495.78,468.7,434.09,11.59,2.269,0.5615,3,15.22,Bullish,Bullish,Bullish,0.0001,0.0001,0.0001,0,None,0,0
2023-05-25,tata,TMPV.NS,508.84,508.84,500.1,505.74,59.62,15.3652,16.6209,-1.2557,496.73,470.16,434.8,11.55,2.2828,0.836,3,9.02,Bullish,Bullish,Bullish,0,0,0,0,None,0,0
2023-05-28,tata,TMPV.NS,505.79,510.56,503.14,509.28,61.21,14.5254,16.2018,-1.6764,497.92,471.69,435.54,11.25,2.209,0.6027,3,11.36,Bullish,Bullish,Bullish,0,0,0,0,None,0,0
2023-05-29,tata,TMPV.NS,515.71,515.81,510.51,512.23,62.54,13.9371,15.7489,-1.8118,499.29,473.28,436.3,10.91,2.1305,0.4814,3,12.94,Bullish,Bullish,Bullish,0,0,0,0,None,0,0
2023-05-30,tata,TMPV.NS,512.23,514.24,508.84,509.62,60.57,13.1096,15.221,-2.1114,500.27,474.7,437.03,10.52,2.0642,0.3837,3,9.35,Bullish,Bullish,Bullish,0,0,0,0,None,0,0
2023-05-31,tata,TMPV.NS,510.75,518.17,507.27,516.99,64.02,12.8996,14.7567,-1.8571,501.86,476.36,437.83,10.55,2.0401,0.9082,3,15.13,Bullish,Bullish,Bullish,0,0,0,0,None,0,0
2023-06-01,tata,TMPV.NS,518.17,526.77,513.6,525.73,67.63,13.2855,14.4625,-1.177,504.14,478.3,438.7,10.73,2.0417,0.899,3,21.6,Bullish,Bullish,Bullish,0,0,0,0,None,0,0
2023-06-04,tata,TMPV.NS,527.5,531.68,523.33,526.42,67.91,13.4913,14.2682,-0.777,506.26,480.19,439.58,10.56,2.0067,0.8604,3,20.16,Bullish,Bullish,Bullish,0,0,0,0,None,0,0
2023-06-05,tata,TMPV.NS,529.47,539.09,528.39,536.59,71.71,14.3098,14.2766,0.0332,509.15,482.4,440.54,10.71,1.9967,1.0825,5,27.44,Bullish,Bullish,Bullish,0,0,0,0,None,0,1
2023-06-06,tata,TMPV.NS,539.73,547.15,535.7,545.92,74.68,15.5324,14.5277,1.0047,512.65,484.89,441.59,10.77,1.9721,1.1284,5,33.27,Bullish,Bullish,Bullish,0,0,0,0,None,0,0
2023-06-07,tata,TMPV.NS,548.92,564.83,542.38,557.9,77.88,17.2694,15.0761,2.1933,516.96,487.75,442.75,11.6,2.0793,1.4831,5,40.95,Bullish,Bullish,Bullish,0,0,0,0,None,0,0
2023-06-08,tata,TMPV.NS,559.92,566.35,547.15,549.8,71.31,17.7869,15.6182,2.1687,520.09,490.19,443.81,12.14,2.2087,1.478,5,29.71,Bullish,Bullish,Bullish,0,0,0,0,None,0,0
2023-06-11,tata,TMPV.NS,554.42,556.43,549.41,552.35,72.11,18.1934,16.1333,2.0602,523.16,492.62,444.89,11.78,2.1323,0.6665,5,29.19,Bullish,Bullish,Bullish,0,0,0,0,None,0,0
2023-06-12,tata,TMPV.NS,556.97,558.84,550.73,554.17,72.69,18.4496,16.5965,1.853,526.11,495.04,445.98,11.52,2.078,0.6074,5,28.06,Bullish,Bullish,Bullish,0.2,0.6,0.8,10,Other,0,0
