date,company,symbol,open,high,low,close,rsi,macd,macd_signal,macd_histogram,ema_20,ema_50,ema_200,atr,atr_pct,volume_ratio,trend_score,price_vs_ema20,nifty_trend,banknifty_trend,sensex_trend,sentiment_score,impact_score,relevance_score,news_count,dominant_event,trigger_count,target
2022-05-24,infosys,INFY.NS,1290.45,1291.28,1261.14,1266.19,33.4,-53.7959,-53.7449,-0.051,1343.42,1428.32,1456.1,38.23,3.0195,0.7521,-5,-77.22,Bearish,Bearish,Bearish,0.2,0.6,0.8,10,Product,0,0
2022-05-25,infosys,INFY.NS,1260.92,1267.51,1229.51,1239.35,30.74,-55.595,-54.1149,-1.4801,1333.51,1420.91,1453.94,38.22,3.0836,1.2372,-5,-94.16,Bearish,Bearish,Bearish,0.1,0.3,0.4,0,None,0,0
2022-05-26,infosys,INFY.NS,1245.98,1256.53,1236.36,1251.21,33.27,-55.4247,-54.3769,-1.0478,1325.67,1414.26,1451.92,36.93,2.9513,1.6311,-5,-74.46,Bearish,Neutral,Bearish,0.03,0.09,0.12,0,None,0,0
2022-05-27,infosys,INFY.NS,1268.79,1289.04,1263.03,1284.08,39.83,-52.0382,-53.9092,1.871,1321.71,1409.15,1450.25,36.99,2.8808,1.0426,-3,-37.63,Neutral,Bullish,Neutral,0.009,0.027,0.036,0,None,0,1
2022-05-30,infosys,INFY.NS,1306.61,1344.4,1304.86,1341.59,49.23,-44.2041,-51.9681,7.764,1323.6,1406.5,1449.17,38.66,2.8815,1.363,0,17.99,Neutral,Bullish,Bullish,0.0027,0.0081,0.0108,0,None,0,0
2022-05-31,infosys,INFY.NS,1341.5,1347.98,1321.47,1335.19,48.33,-38.0726,-49.189,11.1164,1324.7,1403.71,1448.04,37.79,2.8303,1.8979,0,10.49,Neutral,Neutral,Neutral,0.0008,0.0024,0.0032,0,None,0,0
2022-06-01,infosys,INFY.NS,1343.54,1345.09,1307.22,1312.95,45.22,-34.6093,-46.2731,11.6638,1323.58,1400.15,1446.69,37.8,2.8787,1.0192,-2,-10.64,Neutral,Bullish,Neutral,0.0002,0.0007,0.001,0,None,0,0
2022-06-02,infosys,INFY.NS,1317.79,1344.29,1310.33,1339.1,49.35,-29.4153,-42.9015,13.4862,1325.06,1397.75,1445.62,37.52,2.8021,0.8352,0,14.04,Neutral,Bullish,Neutral,0.0001,0.0002,0.0003,0,None,0,0
2022-06-03,infosys,INFY.NS,1354.11,1380.84,1347.98,1351.27,51.19,-24.0403,-39.1293,15.089,1327.56,1395.93,1444.68,37.82,2.7991,1.0691,0,23.71,Neutral,Neutral,Neutral,0,0.0001,0.0001,0,None,0,0
2022-06-06,infosys,INFY.NS,1346.2,1364.5,1325.78,1358.68,52.33,-18.9636,-35.0961,16.1326,1330.52,1394.47,1443.83,37.89,2.7885,0.7547,0,28.16,Neutral,Neutral,Neutral,0,0,0,0,None,0,0
2022-06-07,infosys,INFY.NS,1349.62,1349.62,1334.3,1337.95,48.89,-16.4241,-31.3617,14.9376,1331.23,1392.25,1442.78,36.92,2.7596,0.5629,0,6.72,Neutral,Neutral,Neutral,-0.6,0.7,0.9,10,Other,0,0
