date,company,symbol,open,high,low,close,rsi,macd,macd_signal,macd_histogram,ema_20,ema_50,ema_200,atr,atr_pct,volume_ratio,trend_score,price_vs_ema20,nifty_trend,banknifty_trend,sensex_trend,sentiment_score,impact_score,relevance_score,news_count,dominant_event,trigger_count,target
2019-06-06,yesbank,YESBANK.NS,148.45,151.2,142.3,143.4,37.07,-12.9882,-17.1555,4.1672,154.99,180.75,223.3,9.33,6.5055,0.9336,-3,-11.59,Neutral,Neutral,Bullish,0,0,0,0,None,0,0
2019-06-09,yesbank,YESBANK.NS,143.4,145.45,136.15,139.9,35.39,-12.7044,-16.2652,3.5609,153.55,179.15,222.47,9.33,6.6667,0.9639,-3,-13.65,Bullish,Bullish,Bullish,0,0,0,0,None,0,0
2019-06-10,yesbank,YESBANK.NS,141.9,145,132.55,135.9,33.52,-12.6563,-15.5434,2.8872,151.87,177.45,221.6,9.55,7.0271,1.2362,-3,-15.97,Bullish,Bullish,Bullish,0,0,0,0,None,0,0
2019-06-11,yesbank,YESBANK.NS,135,143.5,133.75,139.55,36.8,-12.1832,-14.8714,2.6882,150.7,175.97,220.79,9.56,6.8536,1.1418,-3,-11.15,Bullish,Bullish,Bullish,0,0,0,2,Other,0,-1
2019-06-12,yesbank,YESBANK.NS,136,137.8,133.6,134.75,34.4,-12.0566,-14.3084,2.2518,149.18,174.35,219.93,9.31,6.9061,0.7968,-3,-14.43,Bullish,Neutral,Bullish,0,0,0,0,None,0,0
2019-06-13,yesbank,YESBANK.NS,130.8,130.8,116,117.1,27.32,-13.228,-14.0923,0.8644,146.12,172.11,218.91,9.98,8.5231,2.6066,-3,-29.02,Bullish,Neutral,Bullish,0,0,0,0,None,0,0
2019-06-16,yesbank,YESBANK.NS,118.5,121,112.85,115.05,26.64,-14.1585,-14.1056,-0.053,143.17,169.87,217.87,9.85,8.5613,1.9577,-5,-28.12,Neutral,Neutral,Neutral,0,0,0,0,None,0,0
2019-06-17,yesbank,YESBANK.NS,118,118.35,113.75,116.15,27.69,-14.6385,-14.2122,-0.4263,140.59,167.76,216.86,9.47,8.1574,1.0883,-5,-24.44,Neutral,Neutral,Neutral,0,0,0,0,None,0,0
2019-06-18,yesbank,YESBANK.NS,116,117.5,107.1,109.3,25.27,-15.3942,-14.4486,-0.9456,137.61,165.47,215.79,9.54,8.7291,1.4703,-5,-28.31,Neutral,Neutral,Neutral,0,0,0,0,None,0,1
2019-06-19,yesbank,YESBANK.NS,109,111.45,101.3,103.2,23.31,-16.2974,-14.8183,-1.4791,134.33,163.03,214.67,9.58,9.2872,1.53,-5,-31.13,Neutral,Neutral,Neutral,0,0,0,0,None,0,0
